customer_id,monthly_charges,prev_monthly_charges,tickets_7d,tickets_30d,tickets_90d,avg_sentiment,category_billing,category_technical,category_general,days_since_last_ticket,contract_type,tenure_months,churn
CUST_0000,71.8125,46.17,2,4,3,0.408,2,1,0,20,Two year,70,0
CUST_0001,143.83749999999998,44.7,0,4,8,0.459,0,3,2,34,Month-to-month,64,1
CUST_0002,116.5,110.63,0,4,8,0.669,1,4,1,3,Month-to-month,4,1
CUST_0003,99.8375,44.95,0,3,5,-0.029,1,0,1,52,Two year,16,1
CUST_0004,44.5,47.19,0,6,8,0.937,4,1,2,84,Two year,3,0
CUST_0005,44.5,95.94,1,7,9,0.828,2,3,1,24,Two year,63,0
CUST_0006,32.262499999999996,64.97,0,4,6,0.103,4,3,1,19,Month-to-month,22,1
CUST_0007,133.275,97.67,0,6,3,-0.11,2,6,0,70,One year,18,0
CUST_0008,100.1375,26.54,1,6,7,-0.994,3,2,2,70,One year,57,1
CUST_0009,113.5125,68.76,0,4,8,0.422,1,3,2,21,One year,25,1
CUST_0010,27.575,23.36,1,4,7,0.13,1,2,1,48,One year,28,0
CUST_0011,146.23749999999998,26.27,2,5,10,0.875,3,5,1,88,One year,40,1
CUST_0012,129.04999999999998,110.64,0,5,13,0.188,1,3,1,5,One year,23,0
CUST_0013,51.537499999999994,33.92,1,5,9,0.986,1,2,0,50,Two year,8,0
CUST_0014,47.725,73.24,3,6,5,0.708,3,1,2,26,One year,13,0
CUST_0015,47.925000000000004,61.11,1,7,5,0.907,0,2,1,17,Month-to-month,44,1
CUST_0016,63.025000000000006,54.73,1,6,6,-0.345,1,10,1,11,Month-to-month,47,1
CUST_0017,90.60000000000001,109.98,1,6,14,-0.701,0,4,2,27,One year,10,1
CUST_0018,78.9875,22.18,0,4,10,0.594,4,5,0,18,Month-to-month,41,1
CUST_0019,61.4,86.38,1,4,9,0.572,0,3,2,42,Month-to-month,67,1
CUST_0020,101.4875,116.34,4,7,9,-0.577,0,3,0,80,One year,49,1
CUST_0021,42.4375,76.02,1,4,3,0.529,2,2,1,14,Two year,64,1
CUST_0022,61.5125,113.68,1,3,4,0.164,2,3,1,68,Two year,15,0
CUST_0023,70.8,25.23,1,4,8,-0.781,3,2,0,35,One year,61,1
CUST_0024,82.0125,61.88,0,6,11,0.004,2,0,1,84,Two year,52,0
CUST_0025,123.14999999999999,46.02,2,4,10,0.862,1,2,3,41,Two year,46,1
CUST_0026,49.9625,93.08,3,6,6,0.013,4,3,0,44,One year,59,0
CUST_0027,89.275,118.13,1,3,10,0.577,3,2,1,29,Month-to-month,48,1
CUST_0028,99.05,45.65,1,5,13,-0.942,2,3,1,38,Two year,39,1
CUST_0029,30.8125,85.42,2,7,7,0.456,4,6,1,45,One year,42,0
CUST_0030,100.9375,39.81,0,6,13,0.894,0,1,2,57,Month-to-month,51,1
CUST_0031,46.3125,76.53,1,3,5,-0.001,1,3,0,29,Two year,50,0
CUST_0032,33.1375,66.39,1,4,10,-0.325,4,1,1,55,One year,66,0
CUST_0033,143.6125,117.2,0,4,11,0.293,4,5,1,84,Two year,41,0
CUST_0034,145.7,80.85,3,9,12,0.833,1,4,1,89,Two year,58,1
CUST_0035,126.05000000000001,54.95,2,4,11,-0.646,1,2,3,87,One year,4,1
CUST_0036,63.075,31.41,2,5,9,-0.193,3,3,0,53,Month-to-month,49,0
CUST_0037,37.2125,35.12,0,5,6,-0.687,3,2,1,85,One year,3,1
CUST_0038,110.525,42.53,1,8,5,-0.007,2,2,0,36,Month-to-month,32,1
CUST_0039,80.02499999999999,45.1,1,4,10,0.081,1,5,0,89,One year,47,0
CUST_0040,40.25,105.06,2,4,7,0.888,2,1,1,21,One year,62,0
CUST_0041,86.89999999999999,76.12,0,4,5,-0.175,4,2,1,23,Two year,16,0
CUST_0042,29.3,72.34,0,3,9,0.134,2,5,4,68,Month-to-month,68,1
CUST_0043,138.66250000000002,31.48,2,5,10,0.771,2,3,0,87,Month-to-month,18,1
CUST_0044,57.35,106.01,1,7,9,-0.357,3,5,1,85,Month-to-month,6,1
CUST_0045,107.8125,92.28,2,6,5,0.348,2,1,0,32,Two year,65,0
CUST_0046,63.962500000000006,26.77,1,6,10,0.514,4,3,1,16,One year,37,1
CUST_0047,90.0125,90.78,0,5,6,-0.339,7,5,0,61,Two year,63,0
CUST_0048,93.3375,74.35,0,4,12,-0.671,2,4,4,11,One year,59,1
CUST_0049,48.112500000000004,28.17,0,6,4,0.006,1,2,0,29,One year,34,0
CUST_0050,146.2,65.83,1,5,9,-0.286,2,2,1,89,One year,37,1
CUST_0051,121.8875,68.47,1,5,7,-0.467,1,3,5,12,One year,34,1
CUST_0052,142.4375,36.58,0,3,3,0.947,3,3,2,5,One year,45,1
CUST_0053,136.85,114.57,2,6,10,0.004,2,5,1,66,Two year,1,0
CUST_0054,99.73750000000001,105.0,2,5,5,0.713,1,3,1,10,Month-to-month,53,1
CUST_0055,140.2375,86.9,1,3,6,-0.609,2,2,2,59,One year,62,1
CUST_0056,36.0625,66.23,0,3,9,0.879,4,6,1,9,Two year,15,0
CUST_0057,49.5,61.18,1,3,4,0.589,5,5,1,74,Two year,51,0
CUST_0058,30.65,85.1,2,4,8,0.617,5,4,0,15,Two year,14,0
CUST_0059,65.6625,74.54,1,5,12,-0.22,2,3,2,83,Two year,59,0
CUST_0060,73.58749999999999,26.23,1,5,12,-0.029,0,5,0,41,Two year,52,1
CUST_0061,58.9125,71.25,3,5,12,0.187,3,6,0,43,One year,1,0
CUST_0062,128.5875,100.64,1,3,9,0.58,2,0,1,18,Month-to-month,17,1
CUST_0063,69.6,65.92,0,5,4,0.698,5,6,1,72,One year,56,0
CUST_0064,60.112500000000004,25.2,0,4,9,-0.844,1,2,2,14,One year,5,1
CUST_0065,92.83749999999999,98.63,0,3,5,0.808,4,3,0,86,Month-to-month,17,1
CUST_0066,42.612500000000004,40.14,2,3,6,0.875,3,5,1,84,One year,18,0
CUST_0067,125.275,45.86,0,3,7,0.186,2,3,1,38,Month-to-month,55,1
CUST_0068,34.325,36.47,1,6,6,-0.626,4,3,0,4,One year,47,1
CUST_0069,148.3625,53.02,2,5,5,0.637,1,4,1,85,Month-to-month,49,1
CUST_0070,121.525,95.68,0,4,9,0.097,4,2,3,30,Two year,23,0
CUST_0071,49.8375,71.94,0,4,10,0.634,3,4,0,78,Month-to-month,21,1
CUST_0072,25.6875,40.49,3,5,11,0.63,0,1,2,27,One year,29,0
CUST_0073,126.9375,107.78,1,4,8,-0.827,2,5,0,37,One year,60,1
CUST_0074,113.3625,107.96,1,6,8,0.214,1,2,0,51,Month-to-month,46,1
CUST_0075,116.125,107.06,0,4,10,-0.034,0,2,0,14,Two year,10,0
CUST_0076,121.4125,43.88,1,5,13,0.892,3,6,3,18,One year,53,1
CUST_0077,34.25,65.12,0,7,11,-0.407,2,3,1,34,Two year,7,0
CUST_0078,69.8125,118.5,0,7,7,-0.588,1,2,1,81,Month-to-month,30,1
CUST_0079,39.4875,97.2,3,4,9,0.794,1,2,0,73,Month-to-month,55,1
CUST_0080,132.8875,22.72,1,3,8,-0.703,3,3,1,14,Month-to-month,65,1
CUST_0081,102.9125,26.52,1,3,6,0.373,1,4,0,87,Two year,21,1
CUST_0082,66.36250000000001,66.39,1,6,11,-0.4,2,2,0,46,Two year,7,0
CUST_0083,32.95,110.92,0,3,7,0.136,1,5,0,55,Month-to-month,44,1
CUST_0084,63.875,73.87,0,6,9,0.232,1,1,1,19,Month-to-month,68,1
CUST_0085,65.65,69.78,0,3,6,-0.165,1,3,0,74,Month-to-month,15,1
CUST_0086,116.19999999999999,30.55,0,7,5,0.95,4,2,0,8,Two year,2,1
CUST_0087,104.7,85.68,0,3,11,-0.736,1,3,0,4,Two year,3,1
CUST_0088,135.9,102.21,2,3,6,-0.217,1,2,1,10,Two year,48,0
CUST_0089,84.025,58.04,4,4,10,-0.139,3,6,0,1,Month-to-month,68,1
CUST_0090,39.95,97.56,0,6,8,0.262,3,2,1,51,Two year,47,0
